"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 24 09:11:47 GMT 2022","Sun Jul 24 09:12:26 GMT 2022","39462","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Sun Jul 24 09:12:32 GMT 2022","Sun Jul 24 09:13:17 GMT 2022","45520","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Sun Jul 24 09:12:32 GMT 2022","Sun Jul 24 09:12:50 GMT 2022","18307","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Sun Jul 24 09:12:32 GMT 2022","Sun Jul 24 09:13:02 GMT 2022","30640","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"failed","Sun Jul 24 09:12:32 GMT 2022","Sun Jul 24 09:13:28 GMT 2022","56230","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"passed","Sun Jul 24 09:12:32 GMT 2022","Sun Jul 24 09:12:46 GMT 2022","14928","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"skipped","Sun Jul 24 09:11:47 GMT 2022","Sun Jul 24 09:11:47 GMT 2022","229","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Sun Jul 24 09:12:32 GMT 2022","Sun Jul 24 09:14:01 GMT 2022","89302","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"passed","Sun Jul 24 09:12:32 GMT 2022","Sun Jul 24 09:13:38 GMT 2022","66438","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Sun Jul 24 09:11:47 GMT 2022","Sun Jul 24 09:12:04 GMT 2022","17002","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"passed","Sun Jul 24 09:11:47 GMT 2022","Sun Jul 24 09:12:25 GMT 2022","38408","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Sun Jul 24 09:12:32 GMT 2022","Sun Jul 24 09:13:40 GMT 2022","68944","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"skipped","Sun Jul 24 09:11:47 GMT 2022","Sun Jul 24 09:13:14 GMT 2022","87080","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
