"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jul 19 09:25:49 GMT 2022","Tue Jul 19 09:25:49 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Tue Jul 19 09:25:49 GMT 2022","Tue Jul 19 09:26:17 GMT 2022","28189","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"skipped","Tue Jul 19 09:25:17 GMT 2022","Tue Jul 19 09:25:17 GMT 2022","188","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"passed","Tue Jul 19 09:25:49 GMT 2022","Tue Jul 19 09:26:59 GMT 2022","70994","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"skipped","Tue Jul 19 09:25:17 GMT 2022","Tue Jul 19 09:25:17 GMT 2022","186","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"skipped","Tue Jul 19 09:25:17 GMT 2022","Tue Jul 19 09:25:17 GMT 2022","192","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"skipped","Tue Jul 19 09:25:17 GMT 2022","Tue Jul 19 09:25:17 GMT 2022","130","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Tue Jul 19 09:25:49 GMT 2022","Tue Jul 19 09:26:55 GMT 2022","66682","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"failed","Tue Jul 19 09:25:17 GMT 2022","Tue Jul 19 09:27:17 GMT 2022","120177","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Tue Jul 19 09:25:49 GMT 2022","Tue Jul 19 09:25:53 GMT 2022","4675","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
