"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:30:21 GMT 2022","130144","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:30:22 GMT 2022","131909","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:36:21 GMT 2022","480733","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:22 GMT 2022","1704","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:28:36 GMT 2022","25465","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:29:50 GMT 2022","89139","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:28:46 GMT 2022","35718","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:36:23 GMT 2022","482488","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:28:35 GMT 2022","24598","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:51 GMT 2022","30806","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"failed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:34:19 GMT 2022","368601","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:36:21 GMT 2022","480901","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:28:41 GMT 2022","30632","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:49 GMT 2022","28431","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:21 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:21 GMT 2022","244","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:28:11 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[AfterSuite]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:21 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:28:34 GMT 2022","23487","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:28:23 GMT 2022","12257","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:45 GMT 2022","24529","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:30:10 GMT 2022","109447","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:31:48 GMT 2022","207546","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:42 GMT 2022","21152","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:46 GMT 2022","25699","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:21 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:36:21 GMT 2022","480836","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:25 GMT 2022","4929","","Operator Suite OS","","Operator Suite OS","","[SynchronizedBeforeSuite]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:29:26 GMT 2022","75473","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:28:35 GMT 2022","24488","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:36:21 GMT 2022","480643","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:26 GMT 2022","5491","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:42 GMT 2022","21142","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:28:37 GMT 2022","26760","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:45 GMT 2022","24827","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:21 GMT 2022","239","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"skipped","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:28:11 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:48 GMT 2022","27717","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:36:23 GMT 2022","482393","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:28:39 GMT 2022","28209","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:30:57 GMT 2022","166617","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:44 GMT 2022","23573","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"skipped","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:28:11 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Sun Jul 24 09:28:11 GMT 2022","Sun Jul 24 09:29:26 GMT 2022","75178","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:36:21 GMT 2022","480604","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:28:45 GMT 2022","24588","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"skipped","Sun Jul 24 09:28:21 GMT 2022","Sun Jul 24 09:36:21 GMT 2022","480884","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
