"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 18 09:38:24 GMT 2022","Mon Jul 18 09:38:24 GMT 2022","2","","Operator Suite OS","","Operator Suite OS","","[AfterSuite]",""
"passed","Mon Jul 18 09:32:31 GMT 2022","Mon Jul 18 09:33:06 GMT 2022","35748","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"skipped","Mon Jul 18 09:38:24 GMT 2022","Mon Jul 18 09:38:24 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Mon Jul 18 09:38:24 GMT 2022","Mon Jul 18 09:40:39 GMT 2022","135883","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"skipped","Mon Jul 18 09:38:24 GMT 2022","Mon Jul 18 09:38:24 GMT 2022","484","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Mon Jul 18 09:38:24 GMT 2022","Mon Jul 18 09:38:50 GMT 2022","26901","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"passed","Mon Jul 18 09:38:24 GMT 2022","Mon Jul 18 09:39:15 GMT 2022","51066","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"skipped","Mon Jul 18 09:38:24 GMT 2022","Mon Jul 18 09:38:24 GMT 2022","484","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"skipped","Mon Jul 18 09:32:31 GMT 2022","Mon Jul 18 09:32:31 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Mon Jul 18 09:32:31 GMT 2022","Mon Jul 18 09:37:05 GMT 2022","274291","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Mon Jul 18 09:38:24 GMT 2022","Mon Jul 18 09:38:55 GMT 2022","31399","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
