"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:24 GMT 2022","29374","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"failed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:17:45 GMT 2022","410431","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:16 GMT 2022","21260","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"skipped","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:06 GMT 2022","223","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"skipped","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:06 GMT 2022","222","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"failed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:17:33 GMT 2022","398392","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:12:02 GMT 2022","67176","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:35 GMT 2022","29384","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:59 GMT 2022","64008","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:10 GMT 2022","15284","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:54 GMT 2022","59859","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"skipped","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:10:55 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:27 GMT 2022","21091","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:12:18 GMT 2022","83859","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:12:35 GMT 2022","100148","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:11 GMT 2022","16458","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"passed","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:35 GMT 2022","29555","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"passed","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:38 GMT 2022","32330","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"skipped","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:06 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:14 GMT 2022","19462","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"skipped","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:06 GMT 2022","128","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"failed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:15:28 GMT 2022","273981","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:10:55 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[AfterSuite]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:12:02 GMT 2022","67961","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:10:55 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"skipped","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:06 GMT 2022","195","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:12:25 GMT 2022","79048","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:10:59 GMT 2022","4109","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:55 GMT 2022","60703","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:13:14 GMT 2022","139743","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:13 GMT 2022","18296","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:16 GMT 2022","21373","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"skipped","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:06 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:42 GMT 2022","36632","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"skipped","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:06 GMT 2022","206","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"passed","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:12:27 GMT 2022","81117","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:33 GMT 2022","27234","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:12:10 GMT 2022","75851","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:12:31 GMT 2022","85099","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:29 GMT 2022","34511","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:19 GMT 2022","24328","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:26 GMT 2022","31390","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:41 GMT 2022","35575","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"skipped","Sun Jul 17 09:11:06 GMT 2022","Sun Jul 17 09:11:06 GMT 2022","195","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:11:38 GMT 2022","43580","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Sun Jul 17 09:10:55 GMT 2022","Sun Jul 17 09:16:20 GMT 2022","325756","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
