"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:13:10 GMT 2022","46001","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"skipped","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:12:24 GMT 2022","193","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"failed","Thu Jul 14 09:12:06 GMT 2022","Thu Jul 14 09:22:07 GMT 2022","601132","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:15:55 GMT 2022","211541","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:14:55 GMT 2022","151648","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Thu Jul 14 09:12:06 GMT 2022","Thu Jul 14 09:16:35 GMT 2022","269252","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Thu Jul 14 09:12:06 GMT 2022","Thu Jul 14 09:13:02 GMT 2022","56101","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"passed","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:12:56 GMT 2022","32409","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Thu Jul 14 09:12:06 GMT 2022","Thu Jul 14 09:12:26 GMT 2022","20431","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"skipped","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:12:24 GMT 2022","190","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"passed","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:12:26 GMT 2022","2971","","Operator Suite OS","","Operator Suite OS","","[SynchronizedBeforeSuite]",""
"passed","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:12:39 GMT 2022","15829","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"skipped","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:12:24 GMT 2022","209","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"skipped","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:12:24 GMT 2022","189","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"failed","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:22:24 GMT 2022","600232","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Thu Jul 14 09:12:06 GMT 2022","Thu Jul 14 09:12:10 GMT 2022","4164","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"skipped","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:12:24 GMT 2022","209","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Thu Jul 14 09:12:24 GMT 2022","Thu Jul 14 09:12:45 GMT 2022","21932","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
