"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:11:40 GMT 2022","268","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:12:01 GMT 2022","21806","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:12:13 GMT 2022","33444","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"broken","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:12:57 GMT 2022","113159","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:11:04 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"skipped","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:11:40 GMT 2022","391","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"skipped","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:11:04 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:12:26 GMT 2022","46502","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"skipped","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:11:40 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"skipped","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:11:40 GMT 2022","391","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"skipped","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:11:40 GMT 2022","386","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:11:26 GMT 2022","22276","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:11:04 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[AfterSuite]",""
"skipped","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:11:40 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:12:10 GMT 2022","66127","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"passed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:12:00 GMT 2022","56771","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"failed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:21:05 GMT 2022","601066","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:11:54 GMT 2022","50764","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:15:27 GMT 2022","263911","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:11:24 GMT 2022","20203","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:12:52 GMT 2022","72346","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"broken","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:14:23 GMT 2022","199720","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:11:40 GMT 2022","382","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:13:02 GMT 2022","82176","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:11:40 GMT 2022","387","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"failed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:21:05 GMT 2022","601091","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"passed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:11:39 GMT 2022","35455","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:11:40 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[AfterSuite]",""
"passed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:11:49 GMT 2022","45662","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"failed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:21:05 GMT 2022","601049","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"skipped","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:11:04 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:12:02 GMT 2022","22006","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"failed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:21:05 GMT 2022","601049","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:11:34 GMT 2022","30406","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:11:38 GMT 2022","34534","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:11:43 GMT 2022","3890","","Operator Suite OS","","Operator Suite OS","","[SynchronizedBeforeSuite]",""
"skipped","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:11:40 GMT 2022","393","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:12:10 GMT 2022","30676","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Sat Jul 16 09:11:04 GMT 2022","Sat Jul 16 09:14:04 GMT 2022","180182","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Sat Jul 16 09:11:40 GMT 2022","Sat Jul 16 09:12:29 GMT 2022","49906","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
