"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:29:28 GMT 2022","352","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:31:57 GMT 2022","141931","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:30:01 GMT 2022","25525","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:34:16 GMT 2022","288078","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:29:28 GMT 2022","343","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:30:10 GMT 2022","34874","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"skipped","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:29:28 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"skipped","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:29:36 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:30:04 GMT 2022","36794","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:30:06 GMT 2022","38633","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:30:50 GMT 2022","74051","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:30:11 GMT 2022","35713","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:30:04 GMT 2022","28744","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"skipped","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:29:28 GMT 2022","549","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:30:04 GMT 2022","28577","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"skipped","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:29:28 GMT 2022","346","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:29:58 GMT 2022","30508","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"passed","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:30:17 GMT 2022","41021","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:29:46 GMT 2022","18709","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"passed","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:32:50 GMT 2022","194708","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:30:56 GMT 2022","80484","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"skipped","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:29:36 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Thu Jul 14 09:29:36 GMT 2022","Thu Jul 14 09:30:09 GMT 2022","33753","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:30:08 GMT 2022","40080","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"skipped","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:29:28 GMT 2022","346","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"passed","Thu Jul 14 09:29:28 GMT 2022","Thu Jul 14 09:30:26 GMT 2022","58522","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
