"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jul 24 09:08:47 GMT 2022","Sun Jul 24 09:08:47 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Sun Jul 24 09:08:47 GMT 2022","Sun Jul 24 09:09:04 GMT 2022","17665","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"passed","Sun Jul 24 09:08:47 GMT 2022","Sun Jul 24 09:09:43 GMT 2022","56677","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Sun Jul 24 09:09:13 GMT 2022","Sun Jul 24 09:09:13 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[AfterSuite]",""
"passed","Sun Jul 24 09:08:47 GMT 2022","Sun Jul 24 09:10:51 GMT 2022","124191","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Sun Jul 24 09:08:47 GMT 2022","Sun Jul 24 09:08:47 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[AfterSuite]",""
"passed","Sun Jul 24 09:08:47 GMT 2022","Sun Jul 24 09:09:54 GMT 2022","67738","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Sun Jul 24 09:08:47 GMT 2022","Sun Jul 24 09:09:07 GMT 2022","20635","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Sun Jul 24 09:09:13 GMT 2022","Sun Jul 24 09:13:00 GMT 2022","227851","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Sun Jul 24 09:09:13 GMT 2022","Sun Jul 24 09:09:13 GMT 2022","236","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Sun Jul 24 09:08:47 GMT 2022","Sun Jul 24 09:09:46 GMT 2022","59865","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Sun Jul 24 09:09:13 GMT 2022","Sun Jul 24 09:09:30 GMT 2022","17127","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
