"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 21 09:12:42 GMT 2022","Thu Jul 21 09:13:03 GMT 2022","21944","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"skipped","Thu Jul 21 09:12:42 GMT 2022","Thu Jul 21 09:12:42 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Thu Jul 21 09:12:39 GMT 2022","Thu Jul 21 09:14:38 GMT 2022","119803","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"passed","Thu Jul 21 09:12:42 GMT 2022","Thu Jul 21 09:13:29 GMT 2022","47093","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Thu Jul 21 09:12:42 GMT 2022","Thu Jul 21 09:13:11 GMT 2022","29462","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Thu Jul 21 09:12:42 GMT 2022","Thu Jul 21 09:13:17 GMT 2022","35769","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"passed","Thu Jul 21 09:12:39 GMT 2022","Thu Jul 21 09:14:40 GMT 2022","121058","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Thu Jul 21 09:12:42 GMT 2022","Thu Jul 21 09:13:07 GMT 2022","25275","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"passed","Thu Jul 21 09:12:42 GMT 2022","Thu Jul 21 09:13:13 GMT 2022","31359","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Thu Jul 21 09:12:39 GMT 2022","Thu Jul 21 09:12:43 GMT 2022","4188","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
