"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:27:01 GMT 2022","43980","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:27:37 GMT 2022","79052","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"skipped","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:25:41 GMT 2022","88","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:27:34 GMT 2022","76056","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"skipped","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:25:41 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:26:42 GMT 2022","24959","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:26:12 GMT 2022","31815","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:26:43 GMT 2022","25047","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:26:00 GMT 2022","19345","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:26:17 GMT 2022","36911","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"skipped","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:26:18 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:26:11 GMT 2022","30711","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"passed","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:25:44 GMT 2022","3589","","Operator Suite OS","","Operator Suite OS","","[SynchronizedBeforeSuite]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:26:55 GMT 2022","37372","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:27:35 GMT 2022","77244","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"skipped","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:25:41 GMT 2022","85","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"skipped","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:26:18 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"skipped","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:25:41 GMT 2022","95","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:26:25 GMT 2022","7814","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:27:39 GMT 2022","81535","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:26:20 GMT 2022","39836","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"skipped","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:25:41 GMT 2022","128","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:28:29 GMT 2022","131429","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:26:11 GMT 2022","30670","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:31:08 GMT 2022","290027","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:26:39 GMT 2022","21540","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:26:23 GMT 2022","5511","","Operator Suite EE","","Operator Suite EE","","[SynchronizedBeforeSuite]",""
"passed","Sun Jul 17 09:26:18 GMT 2022","Sun Jul 17 09:31:43 GMT 2022","325120","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Sun Jul 17 09:25:41 GMT 2022","Sun Jul 17 09:25:45 GMT 2022","4155","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
